Vivado Simulator 2020.2
Time resolution is 1 ps
XilinxAXIVIP: Found at Path: tb_top.DUT.design_1_i.axi_vip_0.inst
Test initialized... Waiting for system reset...
System reset completed... Starting test...
Circular vectoring test
---------------------------------------------
Number of tests             : 2500
Number of CORDIC iterations : 30
Number format               : q0.31
CORDIC iteration logging    : OFF
Test logging                : OFF
Input constraints           : OFF
---------------------------------------------
---------------------------------------------
Test table
No :     init x,     init y,   init ang |      exp x,      exp y,     exp ang |      error x,      error y,    error ang : overflows (xyz), overflow iteration
1370 :   0.294873,   0.544136,   0.000000 |   1.019175,   0.000000,   61.546287 | 2.004141e+00, 1.948938e-01, 3.107537e+00 : 100,  3
1371 :   0.898531,   0.613269,   0.000000 |   1.791458,   0.000000,   34.314469 | 2.137027e+00, 5.293623e-01, 1.587952e+01 : 100,  1
1372 :  -0.151109,  -0.977607,   0.000000 |   1.629003,   0.000000,  -98.786695 | 2.087037e+00, 7.378602e-01, 9.648254e+00 : 110,  1
1373 :  -0.348250,   0.719992,   0.000000 |   1.317065,   0.000000,  115.812394 | 2.062952e+00, 8.376212e-01, 7.377445e+00 : 101,  1
1374 :  -0.908886,   0.154696,   0.000000 |   1.518242,   0.000000,  170.340589 | 2.077565e+00, 7.776012e-01, 8.775538e+00 : 111,  1
1375 :   0.693669,  -0.989046,   0.000000 |   1.989371,   0.000000,  -54.956027 | 2.158968e+00, 4.540192e-01, 1.660902e+01 : 100,  1
1376 :  -0.405530,   0.435880,   0.000000 |   0.980404,   0.000000,  132.934231 | 1.398930e-10, 1.396984e-09, 1.063765e-08 : 001,  1
1377 :  -0.256946,   0.982620,   0.000000 |   1.672548,   0.000000,  104.654183 | 2.070144e+00, 8.941088e-01, 3.780766e+00 : 111,  1
1378 :   0.582543,  -0.365732,   0.000000 |   1.132698,   0.000000,  -32.121395 | 2.011686e+00, 4.931560e-01, 3.497971e-01 : 100,  2
1379 :  -0.737958,  -0.042139,   0.000000 |   1.217220,   0.000000, -176.731823 | 2.012770e+00, 5.237686e-01, 1.130528e+00 : 100,  2
1380 :  -0.520254,   0.545463,   0.000000 |   1.241306,   0.000000,  133.644953 | 2.162984e+00, 4.923502e-01, 2.521000e+01 : 101,  1
1381 :   0.575646,  -0.696392,   0.000000 |   1.487865,   0.000000,  -50.422449 | 2.155453e+00, 4.847266e-01, 2.114260e+01 : 100,  1
1382 :   0.873601,   0.728546,   0.000000 |   1.873227,   0.000000,   39.826646 | 2.198552e+00, 3.439821e-01, 2.139170e+01 : 100,  1
1383 :  -0.112251,   0.927801,   0.000000 |   1.539007,   0.000000,   96.898462 | 2.091180e+00, 7.044761e-01, 1.153649e+01 : 111,  1
1384 :   0.232879,   0.693456,   0.000000 |   1.204629,   0.000000,   71.436735 | 2.047358e+00, 2.134345e-01, 1.390793e+01 : 100,  2
1385 :   0.287326,  -0.725619,   0.000000 |   1.285189,   0.000000,  -68.397766 | 2.053098e+00, 9.318211e-01, 3.167285e+00 : 100,  1
1386 :   0.225347,   0.508294,   0.000000 |   0.915611,   0.000000,   66.090342 | 1.235615e-09, 4.656613e-10, 1.304158e-07 : 000, -1
1387 :  -0.661345,  -0.464912,   0.000000 |   1.331251,   0.000000, -144.893568 | 2.106778e+00, 6.333044e-01, 1.667148e+01 : 100,  1
1388 :   0.978881,   0.295290,   0.000000 |   1.683730,   0.000000,   16.786487 | 2.067764e+00, 9.534941e-01, 1.648462e+00 : 110,  1
1389 :  -0.650736,   0.296792,   0.000000 |   1.177800,   0.000000,  155.482875 | 2.023344e+00, 3.386955e-01, 7.954068e+00 : 101,  1
1390 :  -0.870324,  -0.415803,   0.000000 |   1.588382,   0.000000, -154.463571 | 2.074994e+00, 8.114580e-01, 7.101480e+00 : 100,  1
1391 :   0.909357,   0.343136,   0.000000 |   1.600556,   0.000000,   20.673432 | 2.064953e+00, 9.399751e-01, 2.238483e+00 : 100,  1
1392 :   0.001332,  -0.008139,   0.000000 |   0.013582,   0.000000,  -80.704999 | 5.523554e-09, -0.000000e+00, 1.082545e-05 : 000, -1
1393 :  -0.203523,   0.829211,   0.000000 |   1.406041,   0.000000,  103.790192 | 2.060463e+00, 8.906793e-01, 4.644757e+00 : 111,  1
1394 :   0.758534,  -0.803300,   0.000000 |   1.819402,   0.000000,  -46.641786 | 2.235185e+00, 2.638486e-01, 2.492327e+01 : 100,  1
1395 :   0.839155,  -0.451955,   0.000000 |   1.569566,   0.000000,  -28.306205 | 2.084856e+00, 7.416441e-01, 9.871256e+00 : 100,  1
1396 :  -0.120898,  -0.323128,   0.000000 |   0.568140,   0.000000, -110.513283 | 1.509054e-09, 4.656613e-10, 2.670842e-07 : 000, -1
1397 :  -0.166710,  -0.492380,   0.000000 |   0.856047,   0.000000, -108.705046 | 2.575302e-09, 4.656613e-10, 7.667695e-08 : 000, -1
1398 :  -0.211858,  -0.819150,   0.000000 |   1.393329,   0.000000, -104.500725 | 2.058675e+00, 9.082115e-01, 3.934224e+00 : 110,  1
1399 :   0.105019,  -0.462798,   0.000000 |   0.781493,   0.000000,  -77.214846 | 3.094624e-09, 9.313226e-10, 4.204068e-08 : 000, -1
1400 :   0.998066,  -0.600822,   0.000000 |   1.918403,   0.000000,  -31.047360 | 2.120893e+00, 5.978001e-01, 1.261241e+01 : 100,  1
1401 :  -0.186188,   0.141708,   0.000000 |   0.385311,   0.000000,  142.725270 | 5.045754e-09, 4.656613e-10, 1.394164e-07 : 001,  1
1402 :  -0.401789,   0.806145,   0.000000 |   1.483277,   0.000000,  116.492042 | 2.073165e+00, 8.003887e-01, 8.057093e+00 : 101,  1
1403 :  -0.410440,  -0.677128,   0.000000 |   1.303921,   0.000000, -121.222056 | 2.083009e+00, 7.229045e-01, 1.278711e+01 : 100,  1
1404 :  -0.562175,  -0.859870,   0.000000 |   1.691775,   0.000000, -123.176261 | 2.120882e+00, 5.866731e-01, 1.474131e+01 : 100,  1
1405 :  -0.402603,   0.585963,   0.000000 |   1.170755,   0.000000,  124.492182 | 2.012778e+00, 5.408622e-01, 2.020990e+00 : 101,  1
1406 :  -0.153839,   0.491373,   0.000000 |   0.847904,   0.000000,  107.384264 | 1.846618e-09, 1.862645e-09, 1.948569e-07 : 001,  1
1407 :   0.623997,   0.850791,   0.000000 |   1.737482,   0.000000,   53.742475 | 2.149298e+00, 4.893993e-01, 1.782258e+01 : 100,  1
1408 :  -0.766574,  -0.534085,   0.000000 |   1.538539,   0.000000, -145.134438 | 2.121635e+00, 5.821597e-01, 1.643061e+01 : 100,  1
1409 :  -0.720881,  -0.514233,   0.000000 |   1.458201,   0.000000, -144.498205 | 2.119764e+00, 5.890904e-01, 1.706685e+01 : 100,  1
1410 :   0.416343,   0.394460,   0.000000 |   0.944472,   0.000000,   43.453951 | 4.058557e-09, 4.656613e-10, 4.256695e-08 : 000, -1
1411 :   0.906126,  -0.816241,   0.000000 |   2.008314,   0.000000,  -42.012645 | 2.241005e+00, 2.287007e-01, 2.357770e+01 : 100,  1
1412 :  -0.987924,  -0.945094,   0.000000 |   2.251427,   0.000000, -136.269305 | 2.296994e+00, 7.632125e-02, 2.529575e+01 : 100,  1
1413 :  -0.704760,   0.898489,   0.000000 |   1.880461,   0.000000,  128.110051 | 2.180346e+00, 3.921043e-01, 1.967510e+01 : 101,  1
1414 :  -0.255746,  -0.122692,   0.000000 |   0.467109,   0.000000, -154.371053 | 1.723513e-09, -0.000000e+00, 4.178356e-07 : 000, -1
1415 :  -0.206712,   0.560237,   0.000000 |   0.983374,   0.000000,  110.252693 | 3.287731e-09, 9.313226e-10, 1.258540e-07 : 001,  1
1416 :  -0.995134,  -0.900000,   0.000000 |   2.209539,   0.000000, -137.873778 | 2.266839e+00, 1.475671e-01, 2.369127e+01 : 100,  1
1417 :  -0.096327,   0.789581,   0.000000 |   1.309890,   0.000000,   96.955561 | 2.014781e+00, 4.421666e-01, 2.556855e+00 : 101,  1
1418 :  -0.484242,  -0.154353,   0.000000 |   0.836962,   0.000000, -162.320235 | 3.760929e-10, 2.328306e-09, 3.113312e-07 : 000, -1
1419 :   0.970339,   0.327939,   0.000000 |   1.686706,   0.000000,   18.673389 | 2.067227e+00, 9.932604e-01, 2.384405e-01 : 100,  1
1420 :   0.433488,   0.585966,   0.000000 |   1.200293,   0.000000,   53.506535 | 2.104600e+00, 6.427503e-01, 1.805852e+01 : 100,  1
1421 :   0.039459,  -0.596335,   0.000000 |   0.984168,   0.000000,  -86.214269 | 2.705313e-09, 1.396984e-09, 2.726604e-07 : 000, -1
1422 :  -0.258698,  -0.036130,   0.000000 |   0.430149,   0.000000, -172.049381 | 7.514241e-09, 4.656613e-10, 7.201626e-08 : 000, -1
1423 :   0.492620,   0.752426,   0.000000 |   1.481003,   0.000000,   56.786865 | 2.106055e+00, 6.372829e-01, 1.477819e+01 : 100,  1
1424 :  -0.728048,   0.441784,   0.000000 |   1.402385,   0.000000,  148.750378 | 2.089421e+00, 7.013483e-01, 1.281467e+01 : 101,  1
1425 :  -0.454770,  -0.489363,   0.000000 |   1.100119,   0.000000, -132.901615 | 2.004682e+00, 3.132662e-01, 3.305406e+00 : 100,  3
1426 :   0.205139,   0.744882,   0.000000 |   1.272308,   0.000000,   74.602522 | 2.036233e+00, 2.597588e-01, 1.099877e+01 : 100,  2
1427 :   0.203922,   0.700696,   0.000000 |   1.201751,   0.000000,   73.773515 | 2.037629e+00, 2.562131e-01, 1.182778e+01 : 100,  2
1428 :   0.383306,   0.567994,   0.000000 |   1.128411,   0.000000,   55.986868 | 2.012026e+00, 5.300513e-01, 1.541939e+00 : 100,  2
1429 :   0.776680,   0.526753,   0.000000 |   1.545414,   0.000000,   34.145548 | 2.117016e+00, 5.982105e-01, 1.571060e+01 : 100,  1
1430 :   0.289544,   0.514942,   0.000000 |   0.972846,   0.000000,   60.651613 | 3.281033e-09, 9.313226e-10, 1.306793e-07 : 000, -1
1431 :   0.529459,  -0.800214,   0.000000 |   1.580091,   0.000000,  -56.509499 | 2.115041e+00, 6.059181e-01, 1.505555e+01 : 100,  1
1432 :   0.031356,  -0.260962,   0.000000 |   0.432833,   0.000000,  -83.148353 | 5.292165e-09, 9.313226e-10, 1.891702e-07 : 000, -1
1433 :  -0.416967,   0.510724,   0.000000 |   1.085739,   0.000000,  129.228992 | 2.002842e+00, 2.430595e-01, 3.672166e-01 : 101,  1
1434 :  -0.825967,  -0.746490,   0.000000 |   1.833363,   0.000000, -137.893442 | 2.221166e+00, 2.932480e-01, 2.367161e+01 : 100,  1
1435 :   0.643833,   0.870358,   0.000000 |   1.782799,   0.000000,   53.508445 | 2.155345e+00, 4.694299e-01, 1.805661e+01 : 100,  1
1436 :   0.767383,   0.380600,   0.000000 |   1.410586,   0.000000,   26.380109 | 2.069211e+00, 8.127911e-01, 7.945160e+00 : 100,  1
1437 :  -0.337488,   0.034812,   0.000000 |   0.558710,   0.000000,  174.110771 | 4.296784e-09, 1.862645e-09, 8.031711e-08 : 001,  1
1438 :   0.409581,  -0.691916,   0.000000 |   1.324086,   0.000000,  -59.376545 | 2.081421e+00, 7.315873e-01, 1.218851e+01 : 100,  1
1439 :   0.014004,  -0.764703,   0.000000 |   1.259494,   0.000000,  -88.950852 | 2.015101e+00, 5.728313e-01, 3.349558e+00 : 100,  2
1440 :   0.691862,   0.221956,   0.000000 |   1.196525,   0.000000,   17.786764 | 2.044504e+00, 2.258036e-01, 1.338806e+01 : 100,  2
1441 :   0.292808,  -0.069078,   0.000000 |   0.495421,   0.000000,  -13.274191 | 5.133180e-09, -0.000000e+00, 1.451807e-07 : 000, -1
1442 :   0.867842,   0.984050,   0.000000 |   2.160650,   0.000000,   48.590637 | 2.250654e+00, 1.902613e-01, 2.297441e+01 : 100,  1
1443 :  -0.682739,  -0.096699,   0.000000 |   1.135528,   0.000000, -171.938599 | 2.013990e+00, 4.282066e-01, 3.662695e+00 : 100,  2
1444 :  -0.908818,   0.823314,   0.000000 |   2.019412,   0.000000,  137.826041 | 2.244527e+00, 2.194386e-01, 2.373901e+01 : 101,  1
1445 :  -0.563452,   0.911698,   0.000000 |   1.764934,   0.000000,  121.717094 | 2.115660e+00, 6.106709e-01, 1.328215e+01 : 101,  1
1446 :   0.065370,  -0.990477,   0.000000 |   1.634627,   0.000000,  -86.224056 | 2.116226e+00, 6.028161e-01, 1.465900e+01 : 110,  1
1447 :   0.734188,  -0.372519,   0.000000 |   1.355758,   0.000000,  -26.902758 | 2.068216e+00, 8.083150e-01, 8.467809e+00 : 100,  1
1448 :   0.449362,   0.978156,   0.000000 |   1.772633,   0.000000,   65.326075 | 2.080718e+00, 8.150346e-01, 6.238976e+00 : 100,  1
1449 :   0.221765,  -0.933387,   0.000000 |   1.579853,   0.000000,  -76.634815 | 2.068890e+00, 8.659538e-01, 5.069764e+00 : 110,  1
1450 :  -0.137169,  -0.124808,   0.000000 |   0.305394,   0.000000, -137.701375 | 2.758744e-09, 4.656613e-10, 2.329341e-07 : 000, -1
1451 :  -0.383367,  -0.761053,   0.000000 |   1.403298,   0.000000, -116.735849 | 2.070036e+00, 8.054766e-01, 8.300900e+00 : 100,  1
1452 :   0.834774,   0.990587,   0.000000 |   2.133244,   0.000000,   49.878925 | 2.229977e+00, 2.431319e-01, 2.168613e+01 : 100,  1
1453 :   0.797366,  -0.766935,   0.000000 |   1.821872,   0.000000,  -43.885558 | 2.242356e+00, 2.482800e-01, 2.545061e+01 : 100,  1
1454 :   0.539230,   0.049162,   0.000000 |   0.891665,   0.000000,    5.209253 | 3.112094e-09, 9.313226e-10, 8.270446e-09 : 000, -1
1455 :  -0.469321,   0.455409,   0.000000 |   1.076911,   0.000000,  135.861883 | 2.006170e+00, 3.350572e-01, 4.541908e+00 : 101,  1
1456 :   0.661858,  -0.172326,   0.000000 |   1.126259,   0.000000,  -14.593954 | 2.029199e+00, 3.027017e-01, 1.019525e+01 : 100,  2
1457 :  -0.436401,   0.242471,   0.000000 |   0.822124,   0.000000,  150.942728 | 3.861238e-09, 9.313226e-10, 8.142086e-08 : 001,  1
1458 :  -0.758878,  -0.933202,   0.000000 |   1.980746,   0.000000, -129.117937 | 2.201504e+00, 3.282843e-01, 2.068299e+01 : 100,  1
1459 :   0.674609,   0.564766,   0.000000 |   1.448829,   0.000000,   39.935250 | 2.154533e+00, 4.901550e-01, 2.150030e+01 : 100,  1
1460 :  -0.172159,  -0.853208,   0.000000 |   1.433346,   0.000000, -101.407872 | 2.067455e+00, 8.316344e-01, 7.027077e+00 : 110,  1
1461 :  -0.222472,   0.041362,   0.000000 |   0.372637,   0.000000,  169.467853 | 3.218743e-09, 4.656613e-10, 4.255535e-07 : 001,  1
1462 :   0.806838,  -0.504428,   0.000000 |   1.566964,   0.000000,  -32.013232 | 2.104493e+00, 6.467777e-01, 1.357828e+01 : 100,  1
1463 :  -0.328121,   0.983701,   0.000000 |   1.707660,   0.000000,  108.446521 | 2.068048e+00, 9.996688e-01, 1.157237e-02 : 101,  1
1464 :  -0.775540,   0.197969,   0.000000 |   1.318082,   0.000000,  165.680121 | 2.033083e+00, 2.752424e-01, 9.921174e+00 : 101,  1
1465 :  -0.466509,   0.687472,   0.000000 |   1.368148,   0.000000,  124.160269 | 2.103685e+00, 6.439727e-01, 1.572532e+01 : 101,  1
1466 :   0.965698,  -0.225097,   0.000000 |   1.632903,   0.000000,  -13.120956 | 2.071808e+00, 8.547970e-01, 5.313993e+00 : 110,  1
1467 :   0.739083,  -0.308726,   0.000000 |   1.319007,   0.000000,  -22.670996 | 2.056021e+00, 9.064531e-01, 4.236047e+00 : 100,  1
1468 :   0.624674,  -0.398773,   0.000000 |   1.220424,   0.000000,  -32.552927 | 2.084026e+00, 7.141775e-01, 1.411798e+01 : 100,  1
1469 :  -0.881420,  -0.779164,   0.000000 |   1.937305,   0.000000, -138.523716 | 2.225593e+00, 2.719637e-01, 2.304133e+01 : 100,  1
1470 :  -0.087768,  -0.069000,   0.000000 |   0.183850,   0.000000, -141.826895 | 2.868840e-09, 1.396984e-09, 3.480007e-07 : 000, -1
1471 :   0.228924,  -0.462480,   0.000000 |   0.849789,   0.000000,  -63.664966 | 2.293561e-09, 4.656613e-10, 4.464278e-08 : 000, -1
1472 :   0.944389,  -0.001075,   0.000000 |   1.555184,   0.000000,   -0.065214 | 2.020417e+00, 6.163019e-01, 4.333491e+00 : 100,  2
1473 :  -0.256896,   0.409884,   0.000000 |   0.796597,   0.000000,  122.077597 | 1.090185e-09, 1.396984e-09, 1.080840e-07 : 001,  1
1474 :   0.255399,   0.166711,   0.000000 |   0.502252,   0.000000,   33.134344 | 2.398330e-09, 4.656613e-10, 1.237949e-07 : 000, -1
1475 :   0.548183,   0.427035,   0.000000 |   1.144307,   0.000000,   37.918641 | 2.016900e+00, 6.075134e-01, 5.447449e+00 : 100,  2
1476 :   0.879173,  -0.416892,   0.000000 |   1.602311,   0.000000,  -25.369702 | 2.075105e+00, 8.142478e-01, 6.934753e+00 : 100,  1
1477 :  -0.353945,  -0.627469,   0.000000 |   1.186346,   0.000000, -119.426622 | 2.013875e+00, 4.376388e-01, 3.044570e+00 : 100,  2
1478 :  -0.657193,   0.326362,   0.000000 |   1.208339,   0.000000,  153.591035 | 2.019132e+00, 3.737034e-01, 6.062227e+00 : 101,  1
1479 :  -0.549315,  -0.622422,   0.000000 |   1.367065,   0.000000, -131.429806 | 2.158774e+00, 4.872391e-01, 2.299486e+01 : 100,  1
1480 :  -0.084025,   0.497844,   0.000000 |   0.831425,   0.000000,   99.579918 | 8.221428e-10, -0.000000e+00, 2.084880e-07 : 001,  1
1481 :  -0.424415,   0.072275,   0.000000 |   0.708972,   0.000000,  170.335590 | 3.455442e-09, 9.313226e-10, 1.682471e-07 : 001,  1
1482 :  -0.040072,   0.235601,   0.000000 |   0.393550,   0.000000,   99.652815 | 2.221764e-09, -0.000000e+00, 1.539570e-07 : 001,  1
1483 :   0.705273,   0.453659,   0.000000 |   1.380939,   0.000000,   32.750684 | 2.096201e+00, 6.721485e-01, 1.431574e+01 : 100,  1
1484 :  -0.280153,   0.116574,   0.000000 |   0.499691,   0.000000,  157.407345 | 2.929666e-09, 9.313226e-10, 3.765969e-07 : 001,  1
1485 :  -0.355533,  -0.310712,   0.000000 |   0.777553,   0.000000, -138.848681 | 5.225153e-10, 9.313226e-10, 2.406257e-07 : 000, -1
1486 :  -0.595681,   0.916245,   0.000000 |   1.799677,   0.000000,  123.029192 | 2.127469e+00, 5.646017e-01, 1.459424e+01 : 101,  1
1487 :   0.138768,   0.575134,   0.000000 |   0.974286,   0.000000,   76.434937 | 2.852216e-09, 2.328306e-09, 1.178470e-07 : 000, -1
1488 :  -0.104342,  -0.805548,   0.000000 |   1.337627,   0.000000,  -97.380373 | 2.015568e+00, 4.311380e-01, 2.981667e+00 : 100,  2
1489 :  -0.439432,   0.866510,   0.000000 |   1.599935,   0.000000,  116.890870 | 2.080455e+00, 7.741071e-01, 8.455921e+00 : 101,  1
1490 :   0.934844,   0.676122,   0.000000 |   1.899903,   0.000000,   35.876197 | 2.159577e+00, 4.532385e-01, 1.744125e+01 : 100,  1
1491 :  -0.946051,  -0.799199,   0.000000 |   2.039412,   0.000000, -139.809758 | 2.220736e+00, 2.742272e-01, 2.175529e+01 : 100,  1
1492 :   0.124816,   0.895688,   0.000000 |   1.489236,   0.000000,   82.066810 | 2.083296e+00, 7.393799e-01, 1.050176e+01 : 110,  1
1493 :   0.232316,  -0.169257,   0.000000 |   0.473336,   0.000000,  -36.075636 | 9.623847e-10, -0.000000e+00, 1.264697e-07 : 000, -1
1494 :  -0.404116,   0.073912,   0.000000 |   0.676522,   0.000000,  169.635248 | 3.077876e-09, 4.656613e-10, 1.862628e-08 : 001,  1
1495 :  -0.977488,  -0.113007,   0.000000 |   1.620410,   0.000000, -173.405307 | 2.097674e+00, 6.807673e-01, 1.184026e+01 : 110,  1
1496 :   0.676986,   0.695895,   0.000000 |   1.598782,   0.000000,   45.789107 | 2.216447e+00, 3.324689e-01, 2.577594e+01 : 100,  1
1497 :   0.749170,   0.388748,   0.000000 |   1.389909,   0.000000,   27.425033 | 2.071780e+00, 7.914628e-01, 8.990084e+00 : 100,  1
1498 :   0.416566,  -0.241004,   0.000000 |   0.792518,   0.000000,  -30.051550 | 9.359626e-10, 4.656613e-10, 2.380892e-07 : 000, -1
1499 :   0.053045,  -0.278833,   0.000000 |   0.467405,   0.000000,  -79.228847 | 3.720262e-09, 9.313226e-10, 2.587389e-07 : 000, -1
1500 :  -0.703193,  -0.840569,   0.000000 |   1.804714,   0.000000, -129.914765 | 2.192264e+00, 3.654951e-01, 2.147982e+01 : 100,  1
1501 :   0.737087,  -0.201668,   0.000000 |   1.258416,   0.000000,  -15.301727 | 2.035442e+00, 2.644254e-01, 1.090302e+01 : 100,  2
1502 :   0.984975,  -0.813706,   0.000000 |   2.103921,   0.000000,  -39.560747 | 2.219606e+00, 2.719285e-01, 2.112580e+01 : 100,  1
1503 :   0.133991,   0.630507,   0.000000 |   1.061481,   0.000000,   78.002349 | 2.020158e+00, 3.610774e-01, 7.598946e+00 : 100,  2
1504 :   0.465616,  -0.408257,   0.000000 |   1.019758,   0.000000,  -41.244639 | 2.001240e+00, 9.071571e-02, 1.927904e+00 : 100,  4
1505 :   0.088991,   0.514448,   0.000000 |   0.859754,   0.000000,   80.185868 | 2.650404e-09, 4.656613e-10, 1.079422e-07 : 000, -1
1506 :   0.397374,   0.206115,   0.000000 |   0.737171,   0.000000,   27.415453 | 3.460260e-09, -0.000000e+00, 3.527619e-08 : 000, -1
1507 :   0.151625,   0.565508,   0.000000 |   0.964149,   0.000000,   74.990766 | 4.172796e-09, 1.862645e-09, 1.493719e-07 : 000, -1
1508 :  -0.961841,   0.566710,   0.000000 |   1.838406,   0.000000,  149.493716 | 2.112289e+00, 6.308558e-01, 1.207133e+01 : 101,  1
1509 :   0.070246,  -0.189715,   0.000000 |   0.333143,   0.000000,  -69.681789 | 7.094614e-09, -0.000000e+00, 1.740725e-08 : 000, -1
1510 :   0.582426,  -0.471004,   0.000000 |   1.233493,   0.000000,  -38.962283 | 2.124353e+00, 5.847061e-01, 2.052733e+01 : 100,  1
1511 :   0.183014,   0.558576,   0.000000 |   0.967955,   0.000000,   71.858946 | 3.738102e-09, 4.656613e-10, 1.380991e-07 : 000, -1
1512 :   0.254316,  -0.671013,   0.000000 |   1.181698,   0.000000,  -69.243132 | 2.036529e+00, 2.625483e-01, 1.171432e+01 : 100,  2
1513 :  -0.200882,  -0.726635,   0.000000 |   1.241479,   0.000000, -105.453717 | 2.035586e+00, 2.643964e-01, 1.105501e+01 : 100,  2
1514 :   0.000407,   0.065546,   0.000000 |   0.107940,   0.000000,   89.644561 | 5.124558e-09, 1.396984e-09, 2.878597e-07 : 000, -1
1515 :  -0.836009,  -0.342380,   0.000000 |   1.487687,   0.000000, -157.728886 | 2.062483e+00, 9.044344e-01, 3.836165e+00 : 100,  1
1516 :   0.125817,   0.071351,   0.000000 |   0.238189,   0.000000,   29.557447 | 1.192520e-09, 9.313226e-10, 5.199464e-08 : 000, -1
1517 :   0.102248,   0.176631,   0.000000 |   0.336089,   0.000000,   59.934283 | 3.083141e-09, 4.656613e-10, 1.791705e-07 : 000, -1
1518 :  -0.282570,  -0.858707,   0.000000 |   1.488679,   0.000000, -108.214549 | 2.059333e+00, 9.945017e-01, 2.203996e-01 : 110,  1
1519 :  -0.067878,  -0.265355,   0.000000 |   0.451046,   0.000000, -104.348562 | 3.223320e-09, -0.000000e+00, 6.819741e-08 : 000, -1
1520 :   0.197963,  -0.912960,   0.000000 |   1.538365,   0.000000,  -77.765596 | 2.069943e+00, 8.404642e-01, 6.200545e+00 : 110,  1
1521 :   0.745121,   0.724549,   0.000000 |   1.711503,   0.000000,   44.198054 | 2.231547e+00, 2.857368e-01, 2.576311e+01 : 100,  1
1522 :  -0.145339,  -0.413475,   0.000000 |   0.721734,   0.000000, -109.366828 | 1.491554e-09, -0.000000e+00, 1.375682e-07 : 000, -1
1523 :  -0.355323,   0.169348,   0.000000 |   0.648191,   0.000000,  154.517388 | 2.155316e-09, 4.656613e-10, 6.191755e-08 : 001,  1
1524 :   0.686340,   0.797102,   0.000000 |   1.732181,   0.000000,   49.270110 | 2.193358e+00, 3.690411e-01, 2.229494e+01 : 100,  1
1525 :  -0.962470,  -0.825806,   0.000000 |   2.088403,   0.000000, -139.370175 | 2.231796e+00, 2.425263e-01, 2.219488e+01 : 100,  1
1526 :   0.412540,  -0.298867,   0.000000 |   0.838895,   0.000000,  -35.921646 | 3.722038e-09, 4.656613e-10, 8.263633e-08 : 000, -1
1527 :  -0.428406,   0.407708,   0.000000 |   0.973900,   0.000000,  136.418055 | 3.199947e-09, 9.313226e-10, 1.461866e-07 : 001,  1
1528 :  -0.011457,   0.652736,   0.000000 |   1.075066,   0.000000,   91.005575 | 2.005065e+00, 1.802082e-01, 3.731886e+00 : 101,  1
1529 :  -0.185947,   0.831350,   0.000000 |   1.402861,   0.000000,  102.607739 | 2.062863e+00, 8.632450e-01, 5.827210e+00 : 111,  1
1530 :   0.469995,   0.094460,   0.000000 |   0.789447,   0.000000,   11.363994 | 2.819380e-09, -0.000000e+00, 1.277591e-07 : 000, -1
1531 :   0.263453,   0.395584,   0.000000 |   0.782677,   0.000000,   56.337016 | 4.436771e-09, 4.656613e-10, 2.098700e-08 : 000, -1
